business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
gsicNDwrLH4WGeWMDcJv6w,Ahmed Indian Restaurant,"11301 S Orange Blossom Trl, Ste 104",Orlando,FL,32837,28.401633,-81.404314,3.5,146,1,"{'RestaurantsReservations': 'True', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'False', 'RestaurantsGoodForGroups': 'True', 'BYOBCorkage': ""'yes_free'"", 'RestaurantsAttire': ""'casual'"", 'Caters': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': True, 'lot': True, 'valet': False}"", 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'Corkage': 'False', 'NoiseLevel': ""u'quiet'"", 'BikeParking': 'True', 'RestaurantsPriceRange2': '2', 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'DogsAllowed': 'False', 'Alcohol': ""u'none'"", 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'HappyHour': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}""}","Indian, Pakistani, Bangladeshi, Restaurants, Halal, Buffets","{'Monday': '11:30-22:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:0'}"
n4diWKcRvAFctwdRA6IPMg,Ahmed Indian Restaurant,10042 University Blvd,Orlando,FL,32817,28.596572,-81.243464,4,131,1,"{'ByAppointmentOnly': 'False', 'NoiseLevel': ""u'quiet'"", 'Alcohol': ""'none'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'True', 'GoodForKids': 'True', 'HappyHour': 'True', 'Caters': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': ""u'casual'"", 'HasTV': 'True', 'BikeParking': 'True', 'RestaurantsReservations': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'WiFi': ""'free'"", 'RestaurantsDelivery': 'True', 'RestaurantsTakeOut': 'True', 'DogsAllowed': 'False', 'OutdoorSeating': 'False', 'BusinessParking': ""{'garage': False, 'street': None, 'validated': False, 'lot': None, 'valet': False}"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': None, 'divey': None, 'intimate': None, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}""}","Restaurants, Halal, Indian, Pakistani, Bangladeshi, Buffets","{'Monday': '11:30-21:0', 'Tuesday': '11:30-22:0', 'Wednesday': '11:30-22:0', 'Thursday': '11:30-22:0', 'Friday': '11:30-22:30', 'Saturday': '11:30-22:30', 'Sunday': '11:30-22:0'}"
riAMZdetrgWrwoUQUoJHRQ,Bachata Breeze Restaurant,5773 Curry Ford Rd,Orlando,FL,32822,28.52355528,-81.30801342,3,9,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""'casual'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'RestaurantsReservations': 'False', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': False}"", 'RestaurantsDelivery': 'True', 'WiFi': ""'no'"", 'OutdoorSeating': 'False', 'Alcohol': ""'full_bar'""}","Latin American, Restaurants, Caribbean, Puerto Rican, Buffets","{'Monday': '11:0-17:0', 'Tuesday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-2:0', 'Friday': '11:0-2:0', 'Saturday': '11:0-2:0', 'Sunday': '11:0-2:0'}"
ZCDaGq6eJfG5qB4n3b78Ag,Backlot Express,351 S Studio Dr,Orlando,FL,32830,28.355967,-81.558493,3.5,129,1,"{'RestaurantsTakeOut': 'True', 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'Caters': 'False', 'RestaurantsReservations': 'False', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'WiFi': ""u'free'"", 'NoiseLevel': ""u'loud'"", 'RestaurantsDelivery': 'False', 'RestaurantsGoodForGroups': 'True', 'Alcohol': ""u'beer_and_wine'"", 'OutdoorSeating': 'True', 'BusinessParking': ""{'garage': None, 'street': None, 'validated': None, 'lot': False, 'valet': False}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'RestaurantsTableService': 'False', 'BikeParking': 'False', 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': None, 'upscale': False, 'classy': False, 'casual': True}"", 'HasTV': 'True'}","Buffets, Restaurants, American (Traditional), Salad, Food, Desserts","{'Monday': '11:0-17:0', 'Tuesday': '11:0-17:0', 'Wednesday': '11:0-17:0', 'Thursday': '11:0-17:0', 'Friday': '11:0-17:0', 'Saturday': '11:0-17:0', 'Sunday': '11:0-17:0'}"
gmRYAB3xneTOuK8I7UEQCg,Bamboo Garden Super Buffet,3125 Columbia Blvd,Titusville,FL,32780,28.5527724,-80.8417144,2.5,11,1,"{'DogsAllowed': 'False', 'RestaurantsReservations': 'False', 'WheelchairAccessible': 'True', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': False}"", 'HasTV': 'True', 'HappyHour': 'False', 'Alcohol': ""u'beer_and_wine'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'Caters': 'False', 'Corkage': 'False', 'RestaurantsTakeOut': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsTableService': 'True', 'OutdoorSeating': 'False', 'BYOB': 'False', 'BikeParking': 'True', 'RestaurantsDelivery': 'True'}","Buffets, Chinese, Restaurants, Sushi Bars","{'Tuesday': '11:0-21:0', 'Wednesday': '11:0-21:0', 'Thursday': '11:0-21:0', 'Friday': '11:0-21:30', 'Saturday': '11:0-21:30', 'Sunday': '11:0-21:0'}"
CHTiicer1vhhJ0AfjuEHxA,Biergarten Restaurant,1510 Ave Of The Stars,Orlando,FL,32836,28.3680862,-81.5469133,4,596,1,"{'RestaurantsReservations': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsGoodForGroups': 'True', 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'True', 'Alcohol': ""'beer_and_wine'"", 'RestaurantsPriceRange2': '3', 'BikeParking': 'False', 'NoiseLevel': ""u'loud'"", 'BYOBCorkage': ""'no'"", 'Caters': 'False', 'HasTV': 'False', 'WiFi': ""'free'"", 'RestaurantsDelivery': 'False', 'RestaurantsTakeOut': 'False', 'Smoking': ""u'no'"", 'Music': ""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}"", 'GoodForDancing': 'True', 'BestNights': ""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': True, 'sunday': True, 'saturday': True}"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Ambience': ""{'touristy': True, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'HappyHour': 'False', 'RestaurantsTableService': 'True', 'CoatCheck': 'False', 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': None, 'valet': False}"", 'OutdoorSeating': 'True'}","Restaurants, Bars, German, Beer Gardens, Buffets, Nightlife","{'Monday': '12:0-20:0', 'Tuesday': '12:0-20:0', 'Wednesday': '12:0-20:0', 'Thursday': '12:0-20:0', 'Friday': '12:0-20:0', 'Saturday': '12:0-20:0', 'Sunday': '12:0-20:0'}"
CnNt_kUkrJ-kpgPPGbMG4A,Boi Brazil Churrascaria,5600 International Dr,Orlando,FL,32819,28.461605,-81.457322,4,367,1,"{'RestaurantsReservations': 'True', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'WiFi': ""u'no'"", 'RestaurantsAttire': ""u'casual'"", 'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'GoodForKids': 'True', 'NoiseLevel': ""u'average'"", 'BikeParking': 'True', 'RestaurantsGoodForGroups': 'True', 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'Caters': 'True', 'Alcohol': ""u'full_bar'"", 'ByAppointmentOnly': 'False', 'DogsAllowed': 'False', 'OutdoorSeating': 'None', 'GoodForMeal': ""{'dessert': True, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': None, 'breakfast': False}"", 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'None'}","Restaurants, Steakhouses, Buffets, Brazilian","{'Monday': '12:0-23:0', 'Tuesday': '12:0-23:0', 'Wednesday': '12:0-23:0', 'Thursday': '12:0-23:0', 'Friday': '12:0-23:0', 'Saturday': '12:0-23:0', 'Sunday': '12:0-23:0'}"
ft1njL-bedfFyefTlDJAyA,Boston Lobster Feast,8731 International Dr,Orlando,FL,32819,28.4389041,-81.4707662,3,763,1,"{'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'Caters': 'False', 'NoiseLevel': ""u'average'"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'RestaurantsPriceRange2': '3', 'BikeParking': 'True', 'RestaurantsAttire': ""'casual'"", 'RestaurantsReservations': 'True', 'WiFi': ""u'no'"", 'BYOBCorkage': ""'no'"", 'DogsAllowed': 'False', 'RestaurantsTableService': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': None, 'dinner': True, 'brunch': False, 'breakfast': False}"", 'Alcohol': ""u'full_bar'"", 'RestaurantsTakeOut': 'None', 'WheelchairAccessible': 'True', 'BYOB': 'False', 'RestaurantsDelivery': 'None', 'Corkage': 'True', 'Ambience': ""{'touristy': None, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}"", 'OutdoorSeating': 'None', 'HasTV': 'True'}","Buffets, Seafood, Restaurants","{'Monday': '16:0-22:0', 'Tuesday': '16:0-22:0', 'Wednesday': '16:0-22:0', 'Thursday': '16:0-22:0', 'Friday': '16:0-22:0', 'Saturday': '14:0-22:0', 'Sunday': '14:0-22:0'}"
traOWnt8eIJlqsevJq27Mg,Breakfast with Goofy and his Pals,10100 Dream Tree Blvd,Orlando,FL,32836,28.40232162,-81.54621362,5,9,1,"{'NoiseLevel': ""u'average'"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'False', 'RestaurantsDelivery': 'False', 'Alcohol': ""u'none'"", 'RestaurantsTableService': 'True', 'RestaurantsAttire': ""u'dressy'"", 'WiFi': ""u'free'"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsPriceRange2': '4', 'GoodForKids': 'True', 'OutdoorSeating': 'False', 'BikeParking': 'False', 'Ambience': ""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}"", 'BusinessAcceptsCreditCards': 'True', 'HasTV': 'True', 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': False, 'dinner': False, 'brunch': False, 'breakfast': False}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': False, 'valet': True}""}","Restaurants, Local Flavor, Buffets",
SRxHN7ua5DQawthf7QMMUw,Buffet City,4551 13th St,Saint Cloud,FL,34769,28.254972,-81.3202145,3,70,1,"{'NoiseLevel': ""u'average'"", 'RestaurantsAttire': ""u'casual'"", 'GoodForKids': 'True', 'BikeParking': 'True', 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'False', 'RestaurantsGoodForGroups': 'True', 'OutdoorSeating': 'False', 'HasTV': 'False', 'RestaurantsDelivery': 'False', 'RestaurantsPriceRange2': '1', 'Alcohol': ""'none'"", 'Ambience': ""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}"", 'BusinessParking': ""{'garage': False, 'street': False, 'validated': False, 'lot': True, 'valet': False}"", 'WiFi': ""'free'"", 'GoodForMeal': ""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}""}","Restaurants, Chinese, Buffets","{'Monday': '0:0-0:0', 'Tuesday': '11:0-22:0', 'Wednesday': '11:0-22:0', 'Thursday': '11:0-22:0', 'Friday': '11:0-22:0', 'Saturday': '11:0-22:0', 'Sunday': '11:0-22:0'}"
